No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Setup,Wrap app with MantineProvider,MantineProvider is required at root for all components to work,Wrap entire app with MantineProvider and pass theme,Use Mantine components without provider,"<MantineProvider theme={theme}><App/></MantineProvider>","<App/> without MantineProvider",High,https://mantine.dev/theming/mantine-provider/
2,Setup,Configure PostCSS preset,Use postcss-preset-mantine for rem/em conversion and mixins,Add postcss-preset-mantine to postcss.config,"Manual rem calculations or raw CSS","postcssPresetMantine() in postcss.config.cjs","No PostCSS preset configured",Medium,https://mantine.dev/styles/postcss-preset/
3,Setup,Import core styles,Import Mantine CSS in app entry point,Import @mantine/core/styles.css before component styles,Skip core styles import,"import '@mantine/core/styles.css'","No style import",High,https://mantine.dev/getting-started/
4,Setup,Import package styles separately,Each Mantine package has its own styles that must be imported,Import styles for dates notifications etc separately,Assume core styles cover all packages,"import '@mantine/dates/styles.css'; import '@mantine/notifications/styles.css'","Only import '@mantine/core/styles.css'",High,https://mantine.dev/getting-started/
5,Theme,Create custom theme with createTheme,Use createTheme helper for type-safe theme configuration,createTheme for overrides and pass to MantineProvider,Inline theme object without createTheme,"const theme = createTheme({ primaryColor: 'blue' })","<MantineProvider theme={{ primaryColor: 'blue' }}>",Medium,https://mantine.dev/theming/theme-object/
6,Theme,Define custom colors,Add custom color arrays with 10 shades (0-9) to theme,Use virtualColor or full 10-shade arrays for custom colors,Use arbitrary hex values directly in components,"colors: { brand: ['#f0f0ff', ..., '#1a1a5e'] }","<Button color='#3b82f6'>",Medium,https://mantine.dev/theming/colors/
7,Theme,Use CSS variables for theming,Mantine generates CSS variables automatically from theme,Reference with var(--mantine-color-*) in custom CSS,Hardcode color values in custom CSS,"color: var(--mantine-color-blue-6)","color: #228be6",Medium,https://mantine.dev/styles/css-variables/
8,Theme,Configure default component props,Use theme.components to set default props globally,Set default variant size radius globally via theme,Repeat same props on every component instance,"components: { Button: { defaultProps: { radius: 'md' } } }","<Button radius='md'> on every button",Medium,https://mantine.dev/theming/default-props/
9,Theme,Support color schemes,Use useMantineColorScheme for dark/light mode,useMantineColorScheme hook for toggling,Custom state or CSS for dark mode,"const { colorScheme, toggleColorScheme } = useMantineColorScheme()","const [dark, setDark] = useState(false)",High,https://mantine.dev/theming/color-schemes/
10,Theme,Use light/dark mixin in CSS modules,PostCSS preset provides light-dark mixin,Use light-dark() for mode-specific values in CSS modules,Duplicate styles for each color scheme,"color: light-dark(var(--mantine-color-black), var(--mantine-color-white))","@media (prefers-color-scheme: dark) { ... }",Medium,https://mantine.dev/styles/postcss-preset/#light-dark-function
11,Styling,Prefer CSS Modules for custom styles,Mantine recommends CSS Modules for component styling,Use .module.css files for component-specific styles,Inline styles or global CSS for component styling,"import classes from './Component.module.css'","<Box style={{ padding: 20 }}>",Medium,https://mantine.dev/styles/css-modules/
12,Styling,Use style props for simple styling,Mantine components accept padding margin and other style props,Use p m mt mb etc for quick spacing,CSS for simple spacing adjustments,"<Box p='md' mt='lg'>","<Box className='p-4 mt-6'>",Low,https://mantine.dev/styles/style-props/
13,Styling,Use classNames prop for nested elements,Target inner elements with classNames prop and CSS Modules,classNames for styling sub-elements of components,Override styles with !important or wrappers,"<TextInput classNames={{ input: classes.input, label: classes.label }}/>","<div className='my-wrapper'><TextInput/></div>",Medium,https://mantine.dev/styles/styles-api/
14,Styling,Use rem function for consistent sizing,Use rem() helper for consistent sizing across components,rem() for custom sizes in theme and styles,Raw pixel values,rem(16) or rem('16px'),16 or '16px',Low,https://mantine.dev/styles/rem/
15,Components,Use Button variants correctly,Choose variant based on action importance,variant='filled' for primary actions variant='outline' for secondary,Same variant for all buttons,"<Button variant='filled'>Save</Button><Button variant='outline'>Cancel</Button>","<Button>Save</Button><Button>Cancel</Button>",Medium,https://mantine.dev/core/button/
16,Components,Use Group and Stack for layout,Group for horizontal and Stack for vertical flex layouts,Group for buttons/actions Stack for form fields,Manual flexbox with Box or div,"<Group><Button>A</Button><Button>B</Button></Group>","<div style={{ display: 'flex' }}><Button>A</Button></div>",Medium,https://mantine.dev/core/group/
17,Components,Use AppShell for page layout,AppShell provides responsive layout with header navbar aside footer,AppShell for main application layout,Custom layout with absolute/fixed positioning,"<AppShell header={{ height: 60 }} navbar={{ width: 300 }}><AppShell.Header/><AppShell.Navbar/><AppShell.Main/></AppShell>","<div className='fixed top-0'><nav className='w-64 fixed'>",High,https://mantine.dev/core/app-shell/
18,Components,Use Loader for loading states,Mantine Loader component with size and type props,Loader component or loading prop on components,Custom spinner implementations,"<Button loading={isLoading}>Submit</Button>","<Button>{isLoading ? <Spinner/> : 'Submit'}</Button>",Medium,https://mantine.dev/core/loader/
19,Components,Use Modal for dialogs,Modal component with proper title and overlay,Modal with opened and onClose props,Custom dialog implementations,"<Modal opened={opened} onClose={close} title='Confirm'>{content}</Modal>","<div className={`overlay ${show ? 'visible' : ''}`}>",High,https://mantine.dev/core/modal/
20,Components,Use Drawer for side panels,Drawer for slide-out content panels,Drawer with position prop for direction,Custom sidebar with CSS transitions,"<Drawer opened={opened} onClose={close} position='right'>","<div className={`fixed right-0 transform ${open ? '' : 'translate-x-full'}`}>",Medium,https://mantine.dev/core/drawer/
21,Components,Use Tabs for content switching,Tabs component with proper value and onChange,Tabs for related content sections,Custom tab implementations,"<Tabs value={active} onChange={setActive}><Tabs.List><Tabs.Tab value='first'>First</Tabs.Tab></Tabs.List><Tabs.Panel value='first'>Content</Tabs.Panel></Tabs>","<div onClick={() => setTab(1)}>Tab 1</div>",Medium,https://mantine.dev/core/tabs/
22,Components,Use Table for data display,Mantine Table component with proper structure,Table with striped highlightOnHover for data,HTML table or div-based grids for tabular data,"<Table striped highlightOnHover><Table.Thead><Table.Tr><Table.Th>Name</Table.Th></Table.Tr></Table.Thead><Table.Tbody>{rows}</Table.Tbody></Table>","<table><tr><td>",Medium,https://mantine.dev/core/table/
23,Components,Use Tooltip for hints,Tooltip for additional context on hover,Tooltip wrapping icon buttons and truncated text,Title attribute for tooltips,"<Tooltip label='Delete item'><ActionIcon><IconTrash/></ActionIcon></Tooltip>","<ActionIcon title='Delete'>",Medium,https://mantine.dev/core/tooltip/
24,Components,Use ActionIcon for icon-only buttons,ActionIcon for icon buttons with proper accessibility,ActionIcon with aria-label for accessibility,Button with only an icon inside,"<ActionIcon variant='subtle' aria-label='Settings'><IconSettings size={18}/></ActionIcon>","<Button><IconSettings/></Button>",Medium,https://mantine.dev/core/action-icon/
25,Components,Use Menu for dropdown actions,Menu component for contextual action lists,Menu with Menu.Target and Menu.Dropdown,Custom dropdown with absolute positioning,"<Menu><Menu.Target><Button>Actions</Button></Menu.Target><Menu.Dropdown><Menu.Item>Edit</Menu.Item></Menu.Dropdown></Menu>","<div className='relative'><div className='absolute'>",Medium,https://mantine.dev/core/menu/
26,Components,Use Skeleton for loading placeholders,Skeleton component for content loading states,Skeleton matching content dimensions,Custom shimmer animations,"<Skeleton height={50} circle mb='xl'/><Skeleton height={8} radius='xl'/>","<div className='animate-pulse bg-gray-200'>",Medium,https://mantine.dev/core/skeleton/
27,Components,Use Paper for card surfaces,Paper component for elevated card surfaces,Paper with shadow padding radius,Raw div with box-shadow,"<Paper shadow='sm' p='md' radius='md' withBorder>","<div style={{ boxShadow: '0 1px 3px rgba(0,0,0,0.1)' }}>",Low,https://mantine.dev/core/paper/
28,Components,Use ScrollArea for scrollable containers,ScrollArea for custom scrollbar styling,ScrollArea with proper height for overflow content,Native overflow scroll,"<ScrollArea h={250}>{content}</ScrollArea>","<div style={{ overflow: 'auto', height: 250 }}>",Low,https://mantine.dev/core/scroll-area/
29,Components,Use Accordion for collapsible content,Accordion for expandable content sections,Accordion with proper item structure,Custom collapse with useState,"<Accordion><Accordion.Item value='item-1'><Accordion.Control>Label</Accordion.Control><Accordion.Panel>Content</Accordion.Panel></Accordion.Item></Accordion>","<div onClick={() => setOpen(!open)}>",Medium,https://mantine.dev/core/accordion/
30,Components,Use Badge for status indicators,Badge component for labels tags and status,Badge with color and variant for context,Custom colored spans for status,"<Badge color='green'>Active</Badge><Badge color='red'>Expired</Badge>","<span className='text-green-500'>Active</span>",Low,https://mantine.dev/core/badge/
31,Form,Use @mantine/form for form management,useForm hook for state validation and submission,useForm with initialValues and validate,Manual useState for each field,"const form = useForm({ initialValues: { name: '' }, validate: { name: (v) => v.length < 2 ? 'Too short' : null } })","const [name, setName] = useState('')",High,https://mantine.dev/form/use-form/
32,Form,Use form.getInputProps,getInputProps connects form state to inputs automatically,form.getInputProps('fieldName') on each input,Manual value and onChange wiring,"<TextInput {...form.getInputProps('name')}/>","<TextInput value={form.values.name} onChange={(e) => form.setFieldValue('name', e.target.value)} error={form.errors.name}/>",High,https://mantine.dev/form/use-form/
33,Form,Use validation rules properly,Return error string or null from validate functions,Validate function returns error message or null,Boolean validation or throwing errors,"validate: { email: (v) => /^\S+@\S+$/.test(v) ? null : 'Invalid email' }","validate: { email: (v) => !v.includes('@') }",High,https://mantine.dev/form/validation/
34,Form,Use form.onSubmit handler,form.onSubmit wraps handler and prevents default,form.onSubmit for proper submission handling,Manual e.preventDefault and validation,"<form onSubmit={form.onSubmit((values) => handleSubmit(values))}>","<form onSubmit={(e) => { e.preventDefault(); validate(); }}>",Medium,https://mantine.dev/form/use-form/
35,Form,Use nested form values,Support nested objects with dot notation paths,form.getInputProps('address.city') for nested values,Flat form structure for complex data,"initialValues: { address: { city: '', zip: '' } } with getInputProps('address.city')","initialValues: { addressCity: '', addressZip: '' }",Medium,https://mantine.dev/form/nested/
36,Form,Use form list operations,useForm supports list operations for dynamic fields,form.insertListItem form.removeListItem for arrays,Manual array state management,"form.insertListItem('tasks', { name: '' }) and form.removeListItem('tasks', index)","setTasks([...tasks, {}]) and setTasks(tasks.filter((_, i) => i !== index))",Medium,https://mantine.dev/form/use-form/#list-handlers
37,Select,Use Select for searchable dropdowns,Select component with data prop for options,Select with data array of strings or objects,Native select element,"<Select data={['React', 'Vue', 'Angular']} searchable clearable/>","<select><option>React</option></select>",Medium,https://mantine.dev/core/select/
38,Select,Use Combobox for advanced autocomplete,Combobox for fully custom dropdown behavior,Combobox when Select limitations are reached,Custom dropdown with absolute positioning,"<Combobox onOptionSubmit={handleSelect}><Combobox.Target><InputBase/></Combobox.Target><Combobox.Dropdown><Combobox.Options>{options}</Combobox.Options></Combobox.Dropdown></Combobox>","<div className='relative'><input/><ul className='absolute'>",Medium,https://mantine.dev/core/combobox/
39,Select,Use MultiSelect for multiple choices,MultiSelect for selecting multiple items from list,MultiSelect with data and value props,Multiple checkboxes or custom multi-select,"<MultiSelect data={roles} value={selected} onChange={setSelected}/>","<div>{roles.map(r => <Checkbox checked={selected.includes(r)}/>)}</div>",Medium,https://mantine.dev/core/multi-select/
40,Dates,Import dates styles separately,@mantine/dates requires its own CSS import,Import @mantine/dates/styles.css in app entry,Assume core styles include dates,"import '@mantine/dates/styles.css'","Missing dates CSS import",High,https://mantine.dev/dates/getting-started/
41,Dates,Use DateInput for date fields,DateInput for form date entry with manual input,DateInput for single date selection in forms,Native input type=date or custom date picker,"<DateInput label='Start date' {...form.getInputProps('startDate')}/>","<input type='date' value={date}/>",Medium,https://mantine.dev/dates/date-input/
42,Dates,Use DatePickerInput for calendar picker,DatePickerInput shows calendar dropdown for selection,DatePickerInput for user-friendly date selection,Custom calendar implementation,"<DatePickerInput label='Pick date' value={date} onChange={setDate}/>","Custom calendar component with grid layout",Medium,https://mantine.dev/dates/date-picker-input/
43,Dates,Configure DatesProvider for locale,DatesProvider sets locale and first day of week globally,DatesProvider wrapping date components with locale settings,Manual locale configuration per component,"<DatesProvider settings={{ locale: 'tr', firstDayOfWeek: 1 }}><App/></DatesProvider>","<DateInput locale='tr'> on each component",Medium,https://mantine.dev/dates/getting-started/#datesprovider
44,Notifications,Setup Notifications system,Add Notifications component to app root,Notifications component at app layout level,Custom toast implementation,"<Notifications position='top-right'/> in app root","Custom toast context/state management",High,https://mantine.dev/x/notifications/
45,Notifications,Use notifications.show for alerts,notifications.show for displaying notification messages,notifications.show with title message and color,Custom notification state management,"notifications.show({ title: 'Success', message: 'Document saved', color: 'green' })","setToast({ show: true, message: 'Saved' })",Medium,https://mantine.dev/x/notifications/
46,Notifications,Use notification variants,Apply color prop for semantic notification types,Different colors for success error warning info,Same style for all notifications,"notifications.show({ color: 'red', title: 'Error', message: 'Failed' })","notifications.show({ message: 'Error occurred' })",Medium,https://mantine.dev/x/notifications/
47,Notifications,Use notifications.update for progress,Update existing notifications by id for async operations,Show loading then update on success/failure,Remove and re-show for status changes,"notifications.show({ id: 'load', loading: true }); notifications.update({ id: 'load', color: 'green', loading: false })","notifications.hide('load'); notifications.show({ color: 'green' })",Low,https://mantine.dev/x/notifications/
48,Hooks,Use useDisclosure for boolean state,useDisclosure for modals drawers and toggle states,useDisclosure for open/close patterns with handlers,[opened setOpened] useState pattern,"const [opened, { open, close, toggle }] = useDisclosure(false)","const [opened, setOpened] = useState(false)",Medium,https://mantine.dev/hooks/use-disclosure/
49,Hooks,Use useDebouncedValue for search,useDebouncedValue for debouncing search inputs,useDebouncedValue for API calls on input change,Manual setTimeout debounce,"const [debounced] = useDebouncedValue(search, 300)","useEffect(() => { const t = setTimeout(...); return () => clearTimeout(t); }, [search])",Medium,https://mantine.dev/hooks/use-debounced-value/
50,Hooks,Use useLocalStorage for persistence,useLocalStorage syncs state with localStorage,useLocalStorage for user preferences and settings,Manual localStorage get/set,"const [value, setValue] = useLocalStorage({ key: 'theme', defaultValue: 'light' })","const [val, setVal] = useState(localStorage.getItem('theme'))",Medium,https://mantine.dev/hooks/use-local-storage/
51,Hooks,Use useClickOutside for dismiss,useClickOutside for closing dropdowns and popovers,useClickOutside for custom dismissible components,Manual document click listeners,"const ref = useClickOutside(() => setOpened(false))","useEffect(() => { document.addEventListener('click', ...) })",Medium,https://mantine.dev/hooks/use-click-outside/
52,Hooks,Use useHotkeys for keyboard shortcuts,useHotkeys for binding keyboard shortcuts,useHotkeys for app-wide shortcuts,Manual keydown listeners,"useHotkeys([['ctrl+s', handleSave], ['escape', handleClose]])","useEffect(() => { window.addEventListener('keydown', ...) })",Medium,https://mantine.dev/hooks/use-hotkeys/
53,Hooks,Use useMediaQuery for responsive logic,useMediaQuery for JS-based responsive behavior,useMediaQuery for conditional rendering,Manual window.matchMedia,"const isMobile = useMediaQuery('(max-width: 768px)')","const [isMobile, setIsMobile] = useState(window.innerWidth < 768)",Medium,https://mantine.dev/hooks/use-media-query/
54,Icons,Use Tabler Icons consistently,Use @tabler/icons-react as primary icon library,Tabler Icons for all UI icons,Mix different icon libraries or use emojis,"import { IconEdit, IconTrash } from '@tabler/icons-react'","import { FaEdit } from 'react-icons/fa' or emoji icons",High,https://tabler.io/icons
55,Icons,Set consistent icon sizes,Use consistent size prop matching component context,size={18} for buttons size={24} for standalone,Random icon sizes,"<IconSettings size={18}/> in ActionIcon","<IconSettings size={32}/> in small button",Medium,https://tabler.io/icons
56,Icons,Use stroke prop for weight,Tabler Icons accept stroke prop for line weight,stroke={1.5} as default consistent weight,Default or mixed stroke weights,"<IconUser stroke={1.5} size={20}/>","<IconUser/> without consistent stroke",Low,https://tabler.io/icons
57,A11y,Use semantic Mantine components,Mantine components have built-in ARIA attributes,Rely on component accessibility features,Override ARIA or use divs for buttons,"<Button> <Select> <Modal> with built-in a11y","<div role='button' onClick={...}>",High,https://mantine.dev/getting-started/
58,A11y,Provide labels for all inputs,Use label prop on all form inputs,Label prop on TextInput NumberInput Select etc,Placeholder as only identifier,"<TextInput label='Email' placeholder='you@example.com'/>","<TextInput placeholder='Email'/>",High,https://mantine.dev/core/text-input/
59,A11y,Use aria-label on ActionIcons,ActionIcon needs aria-label for screen readers,aria-label describing the action on icon-only buttons,Icon button without label,"<ActionIcon aria-label='Delete item'><IconTrash/></ActionIcon>","<ActionIcon><IconTrash/></ActionIcon>",High,https://mantine.dev/core/action-icon/
60,A11y,Use visually hidden labels when needed,VisuallyHidden component for screen reader only text,VisuallyHidden for complex interactive elements,No label at all for visual-only elements,"<VisuallyHidden>Search documents</VisuallyHidden>","No accessible name provided",Medium,https://mantine.dev/core/visually-hidden/
61,Performance,Import components individually,Import only needed components from @mantine/core,Named imports for used components,Import entire library,"import { Button, TextInput } from '@mantine/core'","import * as Mantine from '@mantine/core'",Medium,https://mantine.dev/getting-started/
62,Performance,Memoize form handlers,Use useCallback for form submit and complex handlers,useCallback for handlers passed to memoized children,New function reference every render,"const handleSubmit = useCallback((values) => {...}, [])","const handleSubmit = (values) => {...} in render",Medium,
63,Performance,Lazy load heavy components,Dynamic import for modals and complex forms,React.lazy for route-level and modal content,Import everything upfront,"const HeavyModal = lazy(() => import('./HeavyModal'))","import HeavyModal from './HeavyModal'",Medium,
64,Performance,Use virtualized lists for large data,Mantine ScrollArea with virtual scrolling for long lists,Virtual scrolling for lists over 100 items,Render all items at once,Use react-window or similar with ScrollArea,"{items.map(i => <Component/>)} for 1000+ items",High,
65,Patterns,Use compound components,Mantine components use compound pattern extensively,Tabs.Tab Accordion.Item Menu.Item pattern,Custom components ignoring Mantine patterns,"<Tabs><Tabs.List><Tabs.Tab/></Tabs.List><Tabs.Panel/></Tabs>","<CustomTabs items={[{label: 'Tab 1'}]}/>",Medium,
66,Patterns,Consistent spacing with theme,Use theme spacing values for consistent gaps,gap='md' p='sm' m='lg' from theme,Arbitrary pixel values for spacing,"<Stack gap='md'><Group gap='sm'>","<Stack gap={13}><Group gap={7}>",Medium,https://mantine.dev/theming/theme-object/#spacing-and-sizes
67,Patterns,Use polymorphic components,Many Mantine components accept component prop,component prop for rendering as different elements,Wrapper elements for links,"<Button component='a' href='/page'>Link</Button>","<a href='/page'><Button>Link</Button></a>",Medium,https://mantine.dev/guides/polymorphic/
68,Patterns,Group related form fields,Use SimpleGrid or Group for form field layout,SimpleGrid for equal-width field rows,Manual width calculations,"<SimpleGrid cols={2}><TextInput label='First'/><TextInput label='Last'/></SimpleGrid>","<div style={{ display: 'grid', gridTemplateColumns: '1fr 1fr' }}>",Low,https://mantine.dev/core/simple-grid/
69,Electron,Handle color scheme in Electron,Sync Mantine color scheme with system preference in Electron,useMantineColorScheme with forceColorScheme or system detection,Hardcoded color scheme ignoring system preference,"<MantineProvider defaultColorScheme='auto'>","<MantineProvider forceColorScheme='light'>",Medium,https://mantine.dev/theming/color-schemes/
70,Electron,Use rem units carefully in Electron,Electron may have different base font size affecting rem,Set consistent html font-size for Electron window,Assume default browser font-size in Electron,Set html { font-size: 16px } in global styles,Rely on browser default which Electron may change,Low,
